-2.22045e-16,21.5400,
0.131062,19.6200,
0.288336,17.9400,
0.419397,16.5000,
0.589777,15.0600,
0.786370,13.5000,
0.956750,12.3000,
1.14024,11.2800,
1.33683,10.2600,
1.53342,9.42000,
1.75623,8.52000,
1.95282,7.80000,
2.25426,6.90000,
2.55570,6.06000,
2.79161,5.52000,
3.13237,4.86000,
3.44692,4.32000,
3.76147,3.84000,
4.18086,3.30000,
4.56094,2.94000,
4.91481,2.58000,
5.22936,2.34000,
5.55701,2.10000,
5.97641,1.86000,
6.30406,1.68000,
6.69725,1.50000,
7.16907,1.26000,
7.52294,1.14000,
7.90301,0.960000,
8.24377,0.960000,
8.65007,0.840000,
8.93840,0.780000,
9.23984,0.780000,
9.60682,0.660000,
9.84273,0.660000,
10,0.600000,
