-0.00432863,15.1200,
0.140217,13.8009,
0.245341,12.8415,
0.389783,11.8824,
0.534243,10.8632,
0.678633,10.0841,
0.836148,9.24503,
1.03298,8.40621,
1.21665,7.74731,
1.49216,6.78896,
1.76763,5.95062,
2.05617,5.23235,
2.31845,4.69392,
2.63315,4.15581,
2.92162,3.67754,
3.17074,3.31903,
3.43297,2.96060,
3.68205,2.72210,
4.02290,2.42414,
4.31130,2.18587,
4.62592,1.94776,
4.91430,1.76949,
5.26824,1.53161,
5.55661,1.41334,
5.80566,1.29484,
6.14645,1.17688,
6.47414,1.05885,
6.78872,0.940734,
7.09016,0.942543,
7.36543,0.824194,
7.62757,0.765767,
7.94213,0.707654,
8.17806,0.649069,
8.45329,0.650721,
8.75475,0.592529,
8.97757,0.533866,
9.25281,0.475518,
9.51494,0.477090,
9.73774,0.478427,
9.99986,0.480000,
