-0.00350413,12.2400,
0.193552,10.6212,
0.390487,9.42236,
0.574300,8.28346,
0.784273,7.32472,
1.00732,6.48605,
1.24347,5.64747,
1.47957,4.98889,
1.70251,4.51022,
1.96480,3.91180,
2.24017,3.43345,
2.55484,3.01533,
2.88261,2.59730,
3.17103,2.29903,
3.47256,2.00084,
3.78718,1.76273,
4.12799,1.58477,
4.54745,1.34729,
4.88826,1.16933,
5.28150,0.991691,
5.59606,0.933578,
5.87133,0.815229,
6.19900,0.757195,
6.52667,0.699161,
6.88057,0.581284,
7.16890,0.583014,
7.50968,0.525059,
7.81114,0.466868,
8.13881,0.408834,
8.46646,0.410799,
8.82033,0.412923,
9.05626,0.354338,
9.35771,0.296147,
9.61984,0.297720,
9.86885,0.299214,
9.99993,0.240000,
