-0.00765808,26.8737,
0.123694,25.2513,
0.215694,23.9292,
0.320800,22.5471,
0.465259,20.8646,
0.635895,19.1822,
0.858887,17.5002,
1.08185,15.9384,
1.33100,14.3166,
1.61940,12.7552,
1.85536,11.4941,
2.13057,10.2934,
2.41887,9.09271,
2.78566,8.07287,
3.12623,7.17312,
3.47987,6.33356,
3.85967,5.55428,
4.26564,4.83527,
4.63223,4.47675,
5.03820,3.75775,
5.41785,3.51955,
5.79755,3.10099,
6.11175,2.86240,
6.50454,2.44392,
6.92346,2.20596,
7.28998,2.08792,
7.69581,1.84988,
8.11471,1.67204,
8.52050,1.55423,
8.92631,1.37631,
9.33208,1.31863,
9.67243,1.20044,
9.98659,1.14221,
